customer_id,review_id,total_score,review_text,HostelNumber,review_date,review_language
6959402,5299595,51,cuando llegamos el hombre encargado estaba de muy mal humor nos recibio de muy mala gana nos quedamos en una habitacion para 8 personas pero era demasiado pequea a y no daba la impresion de estar limpia los baa os eran demasiado frios y en la maa ana no habia papel higienico en ni uno de los baa os la ubicacion esta buena bien cerca del centro de oxford y de la estacion de buses pero definitivamente la hostal es muy cara para lo que es,4815,2013-02-20 22:10:00,Spanish
6959402,5369583,80,muy buena hostal muy cerca de la estacion de trenes paradas de buses y metro limpia comoda y excelente desayuno el staff desde que llegas te ayuda respecto de como es la mejor forma de conocer roma precio de museos como llegar a que hora es mejor ir etc defnitivamente la recomiendo,24111,2013-03-29 20:48:19,Spanish
6959402,5346842,26,dont stay here someone who aperently works for the hostel stole my laptop from my locker in the bedroom besides all of that bad moment that spent in the hostel you have to pay for the internet and breakfast,4597,2013-03-17 16:01:52,English
6959402,5369580,77,buena hostal con excelente ubicacion pero si estas buscando entretencon conocer gente salir etc esta no seria la hostal indicada,27244,2013-03-29 20:45:38,Spanish
6959402,5299604,94,from the first moment i loved the hostel the staff were very nice and helpfull all the time it has really nice common areas with an excellent atmosphere very clean and confortable bedrooms the only thing that it could be better are the bathrooms that you have to share male and female and that there is no plugs in the room but there are many plugs in the common areas so its not a big deal great location i would defitnely recommend this hostel,552,2013-02-20 22:15:30,English
6959402,5346833,74,nice hostel but a little far from the atractions nice beds and bathrooms just be very carreful with your posessions at the restaurant someone from outside the hostel stole my friends laptop and bag but in general a very nice hostel and a really nice staff,19865,2013-03-17 15:56:09,English
7025002,6159556,80,great staff and a party crowd this could be a great place basically dorm rooms above a bar but it needs some fixing up problems with door lock flooding toilet down stairs toilet has no sink lack of places to hang stuff up in the shower area are all niggling things that should get fixed also the walk into town becomes a chore after a while,82099,2014-02-28 17:33:39,English
7025002,6159550,66,4 bed dorm not great place was pretty scruffy good location for beach and bars,60395,2014-02-28 17:22:19,English
7025002,6159551,100,thoroughly helpful staff would recommend,82603,2014-02-28 17:25:15,English
7939402,7516428,89,the atmospher here is just great good people staff and great location they are very helpfull arranging everything when going to the mountains diffently recomend it,95397,2015-08-26 06:25:39,English
7939402,7475581,80,very nice and easy to find clean new and secure if you re going in the weekend there s some noise from the bars but it s okay the staff was not very friendly or helpfull you kinda felt like they had an attitude towards you breakfast is some bread with butter and jam so don t expect big things overall a good stay in a very nice city,89833,2015-08-16 05:34:15,English
7939402,7516443,91,the atmospher here is just great good people staff and great location they are very helpfull with everything and doing the night the bar at the hostel is a joy diffently recomend it,73338,2015-08-26 06:27:23,English
7939402,7516418,89,the staff was awesome good location and plenty of space to hang out at kotor was crowed with turist but a nice stay diffently go ðy ƒ,35708,2015-08-26 06:22:44,English
10213402,8753841,77,overall at good place to stay it is a 20min walk from the city center if you dont want to take the bus not much atmosphere there more like a hotel kind of feeling,47668,2016-04-06 06:31:03,Danish
10213402,8811122,100,i lover staying at tasos guest house both taso and casper were super friendly and helpful they provide free pick up service at the bus station casper took the guests to a cool bar and the sniper tower taso also arranged movie night with bosnian movie and dinner i reccomend everyone to stay there,43649,2016-04-26 10:03:15,Danish
10213402,8794730,97,i enjoyed my stay at the bubble anne and ben are like family so friendly and helpful,20989,2016-04-20 07:33:01,Danish
10213402,8808732,94,a chilled place i was welcommed with free wine and igor arranged a bike trip for the guests the staff was so helpful and super friendly i would definitely come back,20724,2016-04-25 15:01:10,Danish
10213402,8760017,63,roon was ok the atmosphere was stoned and somehow internal they cook dinner every day and guests can join for only a few euro over all it was a good stay,64370,2016-04-08 09:41:47,English
10213402,8760066,100,i fell in love at first sight there is absolutely nothing bad to say about this place i met the coolest people there and had the best time of my life the atmosphere was just amazing so chilled and friendly go there you wount regret,731,2016-04-08 09:58:00,Danish
10213402,8787948,83,i enjoyed my stay the building is cute but the matresses very bad awesome staff,89716,2016-04-18 06:02:57,Danish
10250402,6505445,40,the staff wasn t the most helpful i accidentally left behind medication contacted them about it and have yet to hear back from them in regards to whether or not they can send it to me the rooms were insanely small no personal space you actually sleep next to someone else no divider or anything closets lockers were very small too only large enough to hold my duffel bag it didn t lock itself either you had to bring your own lock the towels for a 2 are a joke,58539,2014-07-30 09:16:41,English
10250402,6485091,100,loads of amenities free breakfast wifi laundry facilities basic toiletries they have everything the location is super convenient as well and the staff is very friendly and will give you directions to anywhere you need to go or anything the best hostel ever,2036,2014-07-23 15:09:59,English
10250402,6559538,86,good room although all the floors looked like they needed a good clean especially the bathroom floors one day there was no toilet paper at all in any bathroom the wifi was terrible loud at night it s in a good location thigh very convenient to everything,23516,2014-08-16 08:39:24,English
10822402,4708174,74,the staff there are all very nice and willing to help their guests which is very delighted for a traveller stays in their hotel location s good enough only 50 metres away from anvers station the room is also ok but a reconstruction is going on there which made the outside looks a little bit nasty,1656,2012-07-04 20:24:14,English
10822402,4707592,57,the location is ok near metro line2 which is convenient to most of attractions but the room has a strange smell even the quilt which made me felt hard to fall in sleep the wall btw rooms are very thick which is no good as well the staff there are not helpful at all especially the man who is on duty for the night shift he s very cold to non french speakers i m afraid,6091,2012-07-04 15:48:42,English
17974202,7675894,100,we stayed 1 night in pisa i m glad it was at this b b the directions brought us down a laneway i was a little concerned but then the doors opened up to a beautiful garden orangery it s an oasis in the city the house is quirky and has olde world charm in abundance we had the large room with the hand painted ceiling views over the rooftops water robes were provided which was nice alfonso his wonderful cat are great helpful hosts who take pride in what they do marmalade was amazing,19570,2015-10-19 08:32:14,English
17974202,7207144,97,this b b is a home away from home it was very welcoming the hosts were very kind and they make great tea and breakfasts their dog will give a warm welcome also i was offered a lift into town and an umbrella as it was raining when i headed out everything was spotless too,49093,2015-05-26 09:04:41,English
19226802,5078218,100,stayed in a private room at least some if not all the private rooms are located is the neighboring building on the third floor adjacent building only reason you know it s a separate building is the separate entrance from the street check in and all facilities are in the main building there is a small common area terrace where you can site outside which was nice the room was clean and had a fridge safe and computer with internet the sat tv didn t work free walking tour was great,16843,2012-10-31 02:00:03,English
19226802,5078227,86,rooms are tiny but to be expected on a boat being tall i found some of the facilities bathroom and shower tight but the bed was ok i m 6 1 breakfast was good beer is cheap 1 5 euro i think,1230,2012-10-31 02:05:15,English
19226802,5078208,86,great value and located near the old city a bit of a walk to the train station though the neighborhood and naples in general is a bit sketchy,22644,2012-10-31 01:53:01,English
19226802,5078189,100,definitely a place to stay our host was warm welcoming and very informative on which restaurants to eat at this b b was very clean and had a good location we would definitely recommend this place to others and would stay there again,52949,2012-10-31 01:30:28,English
19226802,5078206,89,our hosts were very kind and offered tips on site seeing and dining downtown easily accessible by the bus although bus can be very busy sometimes,60877,2012-10-31 01:50:30,English
20504002,5490948,71,bonne situation relativement propre et bien entretenu personnel correct,40140,2013-05-19 19:55:08,French
20504002,5490954,74,personnel accueillant et arrangeant mais chambre bruyante ha tel va tuste mais propre,309,2013-05-19 19:59:22,French
20504002,5485288,63,personnel serviable mais les douches laissent a desirer,200,2013-05-16 19:23:43,French
20504002,5480399,94,dame accueillante charmante,43774,2013-05-15 07:22:17,French
20504002,5490952,66,personnel tra s accueillant et arrangeant chambre bruyante mais la propreta laisse a da sirer,26337,2013-05-19 19:57:59,French
22908002,7070626,91,excellent location if visiting giant s causeway literally a 1 minute walk bus stop is about 30 seconds away easy trip from coleraine train station hot breakfast every morning made for you the best i have experienced breakfast menu has 5 6 items to choose from ranging from toast to a full irish breakfast,47218,2015-04-01 14:25:37,English
22908002,7046507,100,great stay cannot fault the place,42961,2015-03-21 15:54:18,English
22908002,7371760,100,loved staying at saban run by the friendliest family and the breakfast dinner provided are bloody amazing facilities are clean and in good working order wi fi works well in common area the staff really look after you and are great to chat with such a great place to relax amongst the trees can t wait to return,21286,2015-07-19 15:02:29,English
24305402,6505541,94,lovely hostel just near to lavinia beachside which is fabulous great restaurants great surf and access to loads of shops and considering how close you are to colombo centre it is very tranquil so great place to stay out of the hubbub of downtown and bus really easy to centre the hostel is really clean and there s a great roof terrace where you can while away the day or the evening really friendly people and great service,81992,2014-07-30 09:37:36,English
24305402,7730466,100,fabulous place to stay and such warm hospitality couldn t ask for much more home from home,101757,2015-11-11 08:14:29,English
24975602,4736578,40,we stayed in a 10 bed dorm with an extra matress you could not open any windows in a room with 12 people sleeping in it and there was practically no air in the room the room in itself even without extra matress and people was a disgrace don t go near the 10 bed dorms,530,2012-07-15 15:42:18,English
24975602,4541166,69,very clean and modern reception staff could ve been a bit more friendly,16616,2012-04-15 05:33:11,English
24975602,4503345,97,great staff very friendly and helpful absolutely loved it,21527,2012-03-31 03:51:05,English
25063802,5921927,91,this hostel has really nice atmosphere even locals come to visit the bar because its so great beds were comfortable big lockers delicious food,57778,2013-10-08 11:32:04,English
25063802,5689556,86,nice and helpful staff,28188,2013-07-28 14:39:26,English
25063802,5734861,100,this hostel has many volunteers who make this place cozy and great place to stay they speak english and are very helpful i would definitely recommend this place to those who are looking for pleasant chinese experience,66034,2013-08-10 04:31:07,English
25063802,6633061,94,the staff was extremelly helpful like a lot of people in singapore often i got my answer even before i could actually ask like when i was studying singapore map and a lady came to help me with everything i needed to know about the city there are big lockers inside of the dorms for your backpack and for breakfast a lot of fruits toasts cereals and nutella the place felt safe,64002,2014-09-08 07:39:03,English
27192602,5912492,94,great location right next to termini station the room and breakfast were very nice we enjoyed our stay at this b b,16767,2013-10-03 22:08:54,English
27192602,5888825,80,we enjoyed our stay in la casa verde steve and ana could not be better hosts they drove us around and provided a place for us to leave our belongings while we explored logrono upon arriving we were surprised that transportation to and from la casa verde was difficult it is an extremely rural area if you re looking for accommodation in the center of logrono this is not it overall our stay was great and it was worth the far location because the hosts were so kind to us,22884,2013-09-24 11:16:41,English
27339002,7048799,83,charming little place with a family vibe dorms were a bit cramped but didn t feel claustrophobic very nice terrace with beautiful views the bathrooms could use a renovation but they kept them clean and hot water all day long kinda made up for it recommended,57096,2015-03-22 21:21:43,English
27339002,6606365,97,awesome building awesome staff awesome swim up bar dorms feel a little cramped but not enough to warrant a complaint air con surely felt nice as did all day hot water sweet deal,44036,2014-08-29 22:38:39,English
27339002,6554810,89,i just stayed in the purple house one night in between bus rides and it was a very decent place to do so the hostel was clean and comfortable and andrea is a welcoming host she was also very responsive when i told here there was a problem with the dorm s bathroom took care of it that same morning all in all a good bang for your buck,145,2014-08-14 15:51:15,English
27339002,7051835,100,phenomenal in every way grear staff stellar owner super spacious dorm awesome common areas just go,44856,2015-03-24 03:01:06,English
27339002,6548876,89,super easy to find which coming after dark is definitely a plus they seemed a little understaffed when i was there there was a little mess with several bookings on the day i arrived but they solved it in a flash all while cracking jokes with us weary travelers nice backyard clean facilities recommended,40581,2014-08-12 22:20:40,English
27339002,7060654,66,the place is in need of serious renovations and the added costs extra for internet access lockers were an unpleasant surprise but staff and location worked,16493,2015-03-28 05:46:59,English
27339002,4834721,89,well located hostel in a very nice renovated old casona the dorm was big but the beds had pannels between them that allowed for a little privacy hot water all day long was a plus would recommend it,62915,2012-08-12 00:01:30,English
27339002,5239996,89,i stayed in la coperacha for ten days while on a work trip to guatemala city the place is located in a quiet safe area of the city not super central but within easy access from the main attractions and the airport the hostel is in a classic guatemalan casona refurbished and very pleasantly decorated there was a very nice crowd when i stayed which i really appreciated on my breaks from writing great value for price,59257,2013-01-19 02:00:33,English
27339002,7207967,80,didn t end up staying here but they were really gracious handling my cancelation,62279,2015-05-26 13:35:46,English
27339002,6586139,97,beautiful place close to the center of the city beautifully decorated and clean nice staff accommodating and fast responding i had a problem with my bed and it was fixed in under an hour awesome dorm with lots of space and double bunk beds showers are indeed bad but that s because of granada s water supply great option,57821,2014-08-23 23:44:02,English
27339002,5181942,86,the hostel was a short walk from the city centre inside a housing complex that added extra security the rooms were excellent in size and very quiet great staff and great crowd good option,42689,2012-12-21 00:16:34,English
27339002,6557778,97,most beautiful hostel i ve stayed at in central america enormous house homey feeling and beautiful backyard the dorm has normal single beds as opposed to bunk beds i am going back in a couple of weeks actually liked it that much,16477,2014-08-15 15:30:09,English
27409802,5246015,94,very nice place s situated next to the astoria metro station so close to the everything clean with good atmposphere i noticed only one minus breakfast not included but it is very cheap place to stay so it s not a problem cheers for stuff,52890,2013-01-22 14:32:57,English
27409802,5178134,83,very nice place in the heart of budapest just 10 minutes of walking to the castel or parlament you can have privacy there stuff is usefull nice and helpfull it s pitty that you don t ahev breakfast but for this price it was excellent cheers,57321,2012-12-18 19:41:58,English
27409802,5413629,94,hostel is situated in a very good place near to the city center and party area from one side is awsome you can fastly come back from the party from another party goes on till 5 a m nice helpfull stuff big plus for them cheers,58005,2013-04-17 18:04:10,English
27409802,4933934,100,hi i have spent there 2 nights these were just after opening the hostel 2 days later d stuff was friendly and helpful they can speak english and french included brekfast a lot of smiles cute and calm city and dolphins awesome dolphins if u will go for the cruise u should do that kisses to owners and good luck,66988,2012-09-05 10:27:50,English
27409802,5298261,86,hostel is situated very close to the center 3 metro station with good brekfast at 9 clean toilets and nice and helpfull staff close to hostel is very nice african restaurant cheers,31318,2013-02-20 09:18:30,English
27409802,5441838,40,hostel s worked from few years in real they didn t have room for 2 ppl only big room for 6 explanation no season but why they didn t write it to be honest hostel in reality is a house for students with one free room noone cleaned bathroom kitchen out door very often was opened no atmosphere typical for hostel only stuff one guy was nice and he tried to be helpfull cheers for him,51841,2013-04-30 20:10:55,English
27409802,5438376,100,we had small flat in the center of old town instead of room for 2 ppl cery classy clean and cool apartemnt i have to add stuff was very nice and usefull 5 for you cheers,15354,2013-04-29 20:23:23,English
29632402,5831694,89,awesome i stayed for 2 nights in a private room as we were only here for 2 nights and only using it for sleeping it was the perfect choice of accommodation cheap and affordable it was very clean as well the hostel is in the perfect location so close to public transport river and shops the staff were friendly and very helpful and friendly thanks,75094,2013-09-04 04:12:38,English
29632402,5692086,86,had a short stay here just 1 night very close to the main night life area clean and tidy friendly staff and nice environment i liked the fridge and sink in our room i would stay here again,900,2013-07-29 08:56:29,English
29961002,4375915,86,the staff were very helpful,44306,2012-01-11 06:58:55,English
29961002,4824900,100,great breakfast lovely helpful staff had a fab stay,29661,2012-08-08 22:17:39,English
30803802,4898169,86,je recommande cet auberge a tout le monde staff super sympa parlant portugais francais allemand espagnol et anglais tres bien stua 100m du metro et d une 10 de lignes de bus 10 mn a pied de la plage de flamengo et 20mn a pied de lapa pour les fetards allez sans crainte et de toutes urgences,31128,2012-08-27 06:00:14,French
30803802,4898173,40,super bruyant,54948,2012-08-27 06:02:04,French
30820802,7391126,94,i really enjoyed my stay at bear on the lake boris was managing the hostel during my stay and he is an exceptional host be aware if you don t have a car that the hostel is 6km walk from the bus stop in whycocomagh and from the nearest grocery store but hitchhiking was always possible or else someone at the hostel might offer you a lift the only suggestion for improvement i would make would be to include a basic breakfast i will definitely stay here again,24183,2015-07-24 18:03:58,English
30820802,7347237,66,i know there are few choices of hostels in quebec and this one is fine but know that it is more of a cheap hotel than a hostel very large building with old furnishing the bathrooms and kitchen area feel a bit like boarding school in the rooms there is no air conditioning power points only on bottom bunks and the bunks are narrow and short if you are above 5 10 ask for a bottom bunk fine for a school trip and probably ok if you re traveling in a group but not great for solo travellers,6865,2015-07-12 10:56:07,English
30820802,6535044,94,great atmosphere in sunny lake easy to meet new people helpful staff and volunteers if you re not in a social mood don t stay here showers were a bit odd needed to fiddle a lot with the shower to get hot water good breakfast of you re up early enough and a great balcony to eat it on loved the hostel and the city wish we could have stayed longer,21202,2014-08-08 10:23:35,English
30820802,5810596,57,no locks on the dorm doors but someone is on reception most of the day lockers in the rooms are tall and skinny so a rucksack won t fit but you can put some valuables in facilities in the common room fairly poor dishes provided but you have to wash them in the bathroom without scrubbing brushes no ladders on the bunk beds slightly awkward when you don t know the person below you and have to spring on to the top bunk from their bed possibly while they re sleeping,29000,2013-08-29 09:23:55,English
30820802,6559620,100,stayed here for two nights pub crawl on one and bbq on the other great atmosphere and gorgeous room with a little kitchenette only thing i would change is that there were these small lights in the room no one could figure out how to turn off super close to the bus station and great location in the old town will definitely be staying again,62434,2014-08-16 09:03:51,English
30820802,7090425,86,chris and aaron were so helpful i loved their adorable dog at reception location is great easy to get to all attractions and chris and aaron will be able to advise you really well on what to do we stayed in the apartment next to the main hostel where it was a bit quieter definitely would recommend this hostel,43439,2015-04-08 21:42:46,English
30820802,5810624,60,second time we stayed at this hostel because the location is ideal you re given sheets at check in to make your bed which means you get a nice view of all the various stains on the mattresses and pillows there was also a thick layer of dust on my bed frame,29000,2013-08-29 09:30:36,English
30820802,6539843,97,we were only passing through tirana so stayed in this hostel for one night staff were very helpful and there was a really nice breakfast great chill out area in the garden with a bar wear insect repellent i would stay here again,13269,2014-08-10 08:04:26,English
30820802,7301498,100,without a doubt the best hostel i have ever stayed in friendliest staff great atmosphere especially for solo travellers the rooftop terrace of the hostel has a gorgeous view of the city hostel location is really central right next to kensington market and it has breakfast from 7am 1pm bagels cereals bananas tea and coffee the kitchen is extremely well equipped and offers free rice and popcorn whenever you want if you go to toronto without staying in this hostel you re missing out,48151,2015-06-27 21:22:09,English
30820802,6542830,89,our welcome to this hostel was not great no offer of a map no conversation at all and no keys given when we asked for recommendations of local activities we weren t given any however when we arrived back later on there was one very helpful staff member and they organised a komani lake tour for us good breakfast and relaxed atmosphere would stay again,75143,2014-08-11 07:25:13,English
30820802,6418919,83,wifi doesn t work in the rooms so the hostel should really update their bio to include that or else fix the wifi location is great for public transport but not good for atmosphere residential or for eating out better off staying in the centre towels not available for hire only available to buy lockers require a 10 deposit and bang loudly when you open them waking up dorm mates but if you push in the side with the hinge while opening them then it s fine very clean lovely staff,67989,2014-06-30 07:31:49,English
30820802,5775283,91,sweet family run hostel really close to the bus stop which only takes 10mins into old town and close to some nice beaches too breakfast is cheap 20 kuna and made by milka every morning who is the most fantastic person you will ever meet it s also a great chance to meet some other people staying in the hostel if you re really lucky you ll get treated to some philosophical musings from milka s yes man son nikolas wonderful hostel couldn t recommend it more d,18950,2013-08-20 11:03:25,English
30820802,6535015,94,good location near bus stop and short enjoyable walk to the centre amazing staff at this hostel chilled atmosphere would stay again maybe have some fruit with the provided breakfast if possible,49624,2014-08-08 10:15:07,English
30820802,7342710,86,free breakfast was croissants waffles eggs toast muffins and oj great for a free breakfast but some kind of fruit would be a most welcome addition hostel was clean and safe with lovely staff and friendly workaway staff unfortunately the hostel charged me for an extra night and when i didn t notice while paying my fault i noticed the next morning and pointed it out but once it was paid no refund available apparently other than that i enjoyed my stay,35143,2015-07-10 18:23:13,English
