hostelnumber,num_reviews,description,score,features,policies
52,151,"In the beautiful Cycladic Island of Ios with its endless golden beaches, Markos Village, 2 star accommodation, is built in a traditional style, and found on a unique site with panoramic views of Chora, one of the most picturesque villages in Cyclades. We have pool bar where you can enjoy your drink. Ios is famous for its natural beauty as well as for its lively international ambiance, features which combine to make it popular among young people of all ages. Your stay in Markos Village will therefore be pleasant and comfortable in a cheerful and youthful setting. Markos Village is at a distance of 1km from the port of Ios. The distance from the beach is 1km and the bus station is 100 meters from the hotel. The Hotel is close to night life, bars, restaurants, shops and banks. If you would like to spend some quality time surrounded by nature, beauty and comfort, we are looking forward to seeing you at Markos Village. We offer free wireless Internet and free computer rental. And please remember book early for July and August as this is an extremely busy period. Groups are welcome and we have special offers for groups! We also have a nice apartment with a great view to Chora, which has 3 bedrooms and can accommodate 8 people. The apartment has 2 bathrooms, air conditioning, fridge, full cuisine. television, and 2 balconies with the best view of Chora. Markos Village hotel is 50 meters from the bus stop, basketball, volley ball, supermarket, travel agency and ATM. We also offer 10 % discount for the Thai Smile restaurant, which serves up original thai cuisine.",92,24 Hour Reception|24 Hour Security|Air Conditioning|Airport Transfers|Bar|Free Airport Transfer|Free Internet Access|Free Parking|Free WiFi|Hair Dryers|Housekeeping|Internet Access|Luggage Storage|Nightclub|Outdoor Swimming Pool|Parking|Restaurant|Shuttle Bus|Swimming Pool|Tours/Travel Desk,Credit Cards Accepted|No Curfew|Taxes Included
53,74,"One of the most popular backpackers hostels in Cappadocia, and we're still going strong after 25 years! We have accommodation to suit all tastes - from a place in a 20 bed rooftop conservatory dorm to doubles with private bathroom and balcony. Kose pension is situated in a quiet area of Goreme Village (pop. 2000), so you can go and enjoy nightlife then walk home to Kose for a peaceful sleep. We have a wealth of information on what to see and do during your visit. Goreme is the starting point for many hikes in the valleys of 'Fairy Chimneys'- we even supply a free guide- Spotty, our dog, will show you around some of the lesser known trails! For further away sites, such as the underground cities and Ihlara Gorge we run daytrips at very reasonable prices. Ask us about discounted balloon flights too - a fantastic way to see Cappadocia! An added bonus in the sweltering heat of summer is our swimming pool.(open from mid-May to September)",0,24 Hour Reception|Airport Transfers|Bar|BBQ|Bicycle Parking|Breakfast Not Included|Cafe|Common Room|Free Parking|Iron/Ironing Board|Linen Included|Luggage Storage|Outdoor Swimming Pool|Outdoor Terrace|Parking|Reading Light|Restaurant|STEAMROOM|Swimming Pool|Tours/Travel Desk|Towels for hire,
55,649,"Weekly rates available!! Pint on Punt Backpackers is located above the Windsor Alehouse on Punt Road. We offer free Breakfast, free WiFi, cheap backpacker meals and drinks deals in the bar along with free wine and cheese nights, Trivia night, Open Mic night (bring your instruments :)) endless free tea, coffee and Sugar.. There really is something here for all backpackers! :) This hostel always has such a great atmosphere full of fun for those wanting to meet new people. The staff are a mixed group of friendly, helpful and knowledgeable people. Each have a diverse background and unique interests but have one very important thing in common-they also love the world of travel! They are happy to help with all enquiries and enjoy a good chat in the bar downstairs. More on offer: Fresh linen, pillow and duvet ready on your bed Communal kitchen Common room with comfy couches to relax on while you watch TV, DVD's or just hanging out and having a laugh Laundry facilities Tours desk and booking service loaded with information on tours. Tourist information including free maps Lockers Swipe card security access Fans and heaters Accommodation Information Unfortunately we cannot accommodate for guests under the age of 18 We do not accept groups of more than 6 people. Please contact us first as deposits will not be refunded. Also if we are not contacted we can't guarantee your group guests will be in the same room together. An additional $2 surcharge every time a credit card is used to pay. Location Information The Pint on Punt is perfectly located to all the happenings of St Kilda including the beach, bars, clubs, cafes, movies, gyms, Chapel Street's boutique stores, Albert Park Lake and the Grand Prix circuit. If you're new to Melbourne or need to get some general things organised we have a large range of banks, supermarkets as well as the local post office close by. Cancellation Policy Customers can cancel their reservation free of charge up to 1 days before arrival. After this date, charges will be applied by the property up to the first nights cost of the reservation, unless otherwise stated in the property’s conditions. Deposits paid are non refundable.",73,ATM|Bar|Bicycle Parking|Free Breakfast|Common Room|Free City Maps|Free Internet Access|Free WiFi|Internet Access|Key Card Access|Self-Catering Facilities|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Meals available|Restaurant|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels Included|Wi-Fi,Age Restriction|Credit Cards Accepted|No Curfew|Non Smoking
56,56,"the camp site is situated 5 km south of Florence overlooking the monastery of Certosa... on the welcoming Florentine hills it offers you a quiet, peaceful rest in the hills with the incomparable view of Certosa and Florence, together with the possibility of easy excursions to Florence and historic places like San Gimignamo, Volterra, Siena etc. You can also visit the whole Chianti area with its ancient farms and vineyards. Our services include a bar, mini market, restaurant, camp service, free hot showers, washing and drying machines, public kitchen, internet point ironing room, play ground and a free swimming pool which is open during the summer months. And at reception you can buy bus tickets, , postage stamps, souvenirs, camping supplies and gas refills.",83,24 Hour Security|Bar|Breakfast Not Included|Café|Card Phones|Free Parking|Hot Showers|Late check-out|Linen Included|Mini-Supermarket|Outdoor Swimming Pool|Reception (limited hours)|Restaurant|Swimming Pool,Credit Cards Accepted|Pet Friendly|Taxes Not Included
64,56,"Winner for Best Accommodation in New Zealand at the 2014 TNT Golden Backpack Awards and finalists for 2015! No place you'd rather be – We've got it all: The beach, the surf, and the sun! Welcome to Pacific Coast Lodge, your 4-star award winning backpackers where everyone knows your name! We are magnificently located within walking distance to the beautiful shores of Mount Maunganui Beach, offering affordable accommodation for one night stays or weekly boarders looking for work. The friendly team at Pacific Coast Lodge are able to give genuine advice and offer great deals on the range of activities and adventures to help you make the most of your stay in Mount Maunganui, ensuring that you experience the best that the Bay of Plenty has to offer – anything from swimming with Dolphins, amazing walks & hot pools, to deep sea fishing, kayaking & surfing. We are the only hostel in Mount Maunganui that actively assists you in finding work! Anything from fruit picking and orchard work, to factory and labouring jobs – we have people calling us daily for workers! The hostel is well established and provides loads of the comforts you crave from a Backpackers. We have a variety of shared facility rooms to enjoy, with a huge communal kitchen complete with free tea/coffee/herbs/spices, an outdoor courtyard with BBQ's free to use, our very own games and reading room waiting for you to challenge us to a game of Table Tennis or Space Invader, or even have a jam on our guitars, along with a separate TV Lounge room upstairs kitted out with over 2000 movies on our media player. And if that isn't enough, we are happy to provide you with free surfboards and free bikes to use so you can enjoy the sunshine and catch a few waves! We also have a large car park for off street parking and FREE WIFI! Visit Mount Maunganui and stay at Pacific Coast Lodge for an experience to call home about! With a clean facility, full of fun and a great social atmosphere, it's easy to meet other travellers and share all your wonderful travel adventures … Come & share them with us! Peace, Love & Sandy Feet",90,24 Hour Security|BBQ|Bicycle Hire|Bicycle Parking|Board games|Book Exchange|Card Phones|Common Room|Dryer|DVD's|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free Parking|Free WiFi|Fridge/Freezer|Games Room|Hair Dryers|Hot Showers|Internet Access|Iron/Ironing Board|Jobs Board|Self-Catering Facilities|Laundry Facilities|Linen Included|Luggage Storage|Microwave|Outdoor Terrace|Parking|Reception (limited hours)|Safe Deposit Box|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels for hire|Towels Not Included|Utensils|Vending Machines|Washing machine|Wi-Fi,Credit Cards Accepted|No Curfew|Taxes Included
76,36,"Located in the city center of Antequera, closed to the taxi stop. You can enjoy the Spanish sun 250 days a year. Good connections with the rest of Andalucia. There are rooms with bathroom, air conditioned, cable tv (30 channels), heating, Wi Fi zone, air-dryer, make up mirror and there are other rooms with bathroom outside. We offer the possibility of excursions to Sierra del Torcal, to the marsh 'del chorro' to the lake of Fuentepiedra. The hotels has garage ( price excluded). ++Please notice that this hostel is not located in Malaga city, but in its surroundings++",77,24 Hour Reception|Air Conditioning|Bicycle Hire|Cable TV|Card Phones|Elevator|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free WiFi|Internet Access|Late check-out|Laundry Facilities|Minibar|Parking|Reception (limited hours),Credit Cards Accepted|Taxes Included
83,128,"The most relaxed atmosphere in Rome! Family Park I Pini, sits in a quiet pine shaded setting and blends all the usual hostel facilities with that of a tranquil camping location. The campsite is situated in Fiano Romano (35km into the countryside north of center of Rome) on a hilltop with great views over the Tevere Valley to the north of Rome, surrounded by an ancient pine and oak forest. Family I Pini has the typical hostel services you find in a hostel in Rome - internet free wifi, laundry, restaurant, pizzeria, bar, mini-market and information point but it also has a more laid back, family environment for those wishing to escape the hustle of the city. A great place to recharge those tourist muscles and soak up some sun. Family park I Pini offers the following private accommodation: Private Single Ensuite: Comfortable rooms for individuals with their own shower, toilet, fridge, storage space and bedding. Bed linen, blankets and pillows are provided in the accommodation. Air Conditioning: included. Private Twins Ensuite: Comfortable rooms that sleep 2 people and come with their own shower, toilet, fridge, storage space and bedding. Bed linen, blankets and pillows are provided in the accommodation. Air Conditioning: included. Mobil home: Consist of a bedroom with a double bed, a bedroom with 3 single beds (1 bunk bed), a private bathroom (shower / separate toilet) and a living room with an equipped cooking area. Possibility for an extra bed in living room (on the couch). Chalet: Consist of a bedroom with a double bed, a bedroom with three single beds (1 bunk bed), two private bathrooms and a living room with an equipped cooking area. We have 24hr check-in and rooms are available from 3 p.m. Rome is easily accessible with our private shuttle bus that goes from the campsite and takes you to the heart of the city (Piazza del Popolo). A ticket for this shuttle-bus costs 8 Euro per person (return). You can also reach Rome by public transport: Fiano Romano to Roma (Saxa Rubra): bus, it takes about 40 minutes; Saxa Rubra to Piazza del Popolo: metro, it takes about 15 minutes We run a free shuttle bus to and from the local bus stop. Come and stay with us, and discover the beauty of Rome. I Pini staff wish you an unforgettable holiday in Rome! Important: When cancelling, amending or changing a booking it must be done at least 24hrs before check in to avoid being charged for your first night stay. If you are leaving late feel free to put your bags in the lockup to catch a few extra rays by the pool.",81,24 Hour Reception|24 Hour Security|Airport Transfers|ATM|Bar|BBQ|Bicycle Hire|Bicycle Parking|Book Exchange|Breakfast Not Included|Card Phones|Children's play area|Cots available|Dryer|Express check-in / out|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free Parking|Free WiFi|Fridge/Freezer|Foosball|Games Room|Hair Dryers For Hire|Hot Showers|Internet Access|Late check-out|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Mini-Supermarket|Outdoor Swimming Pool|Outdoor Terrace|Parking|Pool Table|Reception (limited hours)|Restaurant|Safe Deposit Box|Shuttle Bus|Swimming Pool|Tennis courts|Tours/Travel Desk|Towels for hire|Towels Included|Washing machine|Wi-Fi,Child Friendly|Credit Cards Accepted|No Curfew|Pet Friendly
87,47,"WELCOME to Zaya Hostel! Hostel is in a new building with hardwood floors,modern bathrooms,new furnishings, a comfortable lounge, a guest kitchen,cafeteria,balconies, a lugguage storage room. It is an ideal place if you are looking for clean, quiet rooms with more privacy and tours information. Room prices are very affordable considering the space, design, comfort and the location. Single, twin, double and triple room price inclides a breakfast, a locker, hot shower, towels, wifi Internet,sheets. Hostel offers other services, including visa invitation, air and train ticket booking, tour organizing and car rental. For more information please visit website We look forward to seeing you!",0,24 Hour Reception|Board games|Free Breakfast|Ceiling Fan|DVD's|Free WiFi|Hair Dryers|Hot Showers|Internet Access|Self-Catering Facilities|Laundry Facilities|Security Lockers|Parking|Safe Deposit Box|Tours/Travel Desk,No Curfew
91,184,"Anker Hotel is located a mere ten-minute walk away from Karl Johan, Oslos main street. Just outside the door youll find a bus stop, tram stop and taxi stand enabling you to get to all parts of Oslo. Our hotel has 264 rooms, all with a shower, toilet, telephone and TV and in-room movies. There is also a working desk and free wireless Internet. Our cosy lobby bar is a popular place to meet for refreshments before or after activities. Our restaurant is also a good place to begin the day with breakfast.",89,24 Hour Reception|24 Hour Security|Bar|Free Breakfast|Cots available|Elevator|Free Internet Access|Hair Dryers|Housekeeping|Key Card Access|Laundry Facilities|Luggage Storage|Meeting Room|Parking|Reading Light|Wheelchair Friendly,Credit Cards Accepted|No Curfew
100,3383,"The Abbey Court, part of 'Dublin's Best Hostels', is famous for its excellent location, brilliant facilities, warm atmosphere, friendly staff and competitive prices. The hostel has been operating successfully since its establishment in 1999, and continues to see thousands of satisfied guests coming and going year after year. With en-suite dormitories ranging from four to twenty-four beds, the Abbey Court is known for its excellent group catering facilities. Rates include bed linen, as well as free towels for guests staying in single and twin rooms. Despite our central location, guests are still assured of a comfortable and peaceful night's sleep, allowing for a full and busy day ahead. Check out our list of free stuff for all guests: all-you-can-eat breakfast, luggage storage on arrival, laptop and passport storage, lockers in the dorm rooms (bring your own lock!), Wi-Fi and Internet, maps and city guides, a self-catering kitchen, and best of all, free guided walking tour of the city every morning. We also run an infamous nightly pub crawl. We've got hot water, power showers and extra showers and toilets on each floor, plus laundry facilities and a smoking area. We have 24 hour reception so there's no lockout or curfew. There's also 24 hour snacks and drinks and our lounge, games room and TV room are open all the time. Located just off Dublin's famous O'Connell Bridge, we are the most centrally located hostel in the city. Temple Bar, Ireland's famous cultural corner and nightlife spot is a two-minute walk away and can be seen from the front windows. We're just minutes from all the major places of interest and shopping areas including Dublin Castle, Christchurch Cathedral, Trinity College, the Guinness Storehouse, Grafton Street and Stephens Green. Also within walking distance are the tram stop, the DART station and many bus routes that will take you to more scenic areas outside of Dublin including Howth, Dun Laoghaire, Bray and Dalkey, plus the main sporting and concert arenas. Our fun and friendly staff are on hand 24 hours to give advice and recommendations on the best restaurants, pubs, shopping areas and tourist attractions, and also to point you in the right direction of all the hidden gems you wouldn't discover otherwise. We at the Abbey Court are 100% committed to ensuring your stay is as comfortable and fun as possible, and will do everything we can to make this happen. Stay with us and let us help you enjoy everything this colorful and vibrant city has to offer.",86,24 Hour Reception|24 Hour Security|Adaptors|Airport Transfers|BBQ|Bicycle Parking|Board games|Free Breakfast|Cable TV|Cafe|Common Room|DVD's|Free City Maps|Free Internet Access|Free WiFi|Foosball|Games Room|Hair Dryers|Hair Dryers For Hire|Hot Showers|Housekeeping|Internet Access|Jobs Board|Key Card Access|Self-Catering Facilities|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|Meeting Room|Mini-Supermarket|Outdoor Terrace|Pool Table|Restaurant|Safe Deposit Box|Shuttle Bus|STEAMROOM|Tea & Coffee Making Facilities|Tours/Travel Desk|Towels for hire|Vending Machines,Credit Cards Accepted|No Curfew
101,6755,"Are you looking for cheap, clean and secure accommodation close to everything in Dublin city centre? Avalon House is located just minutes' walk from Trinity College, Temple Bar and St. Stephen's Green. We offer a variety of rooms, from 12-person dorms, 6- and 4-person rooms, singles and twins, with ensuite or shared facilities. Rates include bed linen and light breakfast, free Wi-Fi and Internet terminals. We have a large self-catering kitchen, a games room with table tennis, PlayStation and a pool table, Netflix with free movies every night. We have free city maps, event guides and discount books, plus a free walking tour which departs reception at 10.30am every day! We also offer bicycles for hire, laundry service, luggage storage, laptop safes. We're also have our Avalon Coffee House where you can enjoy an authentic Irish coffee and delicious Irish food . A proud member of Europe's Famous Hostels, Avalon is one of the only hostels in Ireland that uses wind and solar energy to power the hostel and has full recycling facilities. The cheapest way to get here is on the 16 bus from the airport. It will drop you right beside the hostel on Aungier Street and costs €3.30 ( coins) . Make sure you have exact change as none is given on the bus. The journey lasts about 40/60 minutes and it operates from 7.45am during the week and 8.30am on Sundays. The last bus is 10.40pm except Saturday when it is 10.20pm. Buses go roughly every 20 minutes but check the timetable at the bus stop for exact times Please be aware that all persons under 18 years of age must be accompanied by an adult and can only be accommodated in a private rooms with private bathroom ( ensuite rooms) .",81,24 Hour Reception|24 Hour Security|Adaptors|Airport Transfers|Bicycle Hire|Board games|Book Exchange|Free Breakfast|Cable TV|Cafe|Card Phones|Common Room|Elevator|Telephone/Fax Facilities|Free City Maps|Free Internet Access|Free WiFi|Foosball|Games Room|Hair Dryers|Hair Dryers For Hire|Hot Showers|Internet Access|Jobs Board|Key Card Access|Self-Catering Facilities|Late check-out|Laundry Facilities|Linen Included|Security Lockers|Luggage Storage|PlayStation|Pool Table|Postal Service|Reception (limited hours)|Safe Deposit Box|STEAMROOM|Tours/Travel Desk|Towels for hire|Vending Machines|Washing machine,Age Restriction|Credit Cards Accepted|No Curfew|Non Smoking|Taxes Included
103,4309,"Ashfield Hostel is Dublin's most centrally located hostel. We're just one minute's walk to Trinity College, Temple Bar and O'Connell Street as well as bus stops to the airport, ferry terminal, Guinness Storehouse and Heuston Station. All rooms are ensuite, from private rooms to our multi-bedded rooms. Breakfast is included and consists of cereal, toast, yoghurt, tea, coffee, juice, eggs and fruit. We have free guided walking tours of Dublin city every day, plus a ton of other free stuff, such as free Wi-Fi (lobby and rooms), free luggage storage at reception and free city maps and guides. There's also safety deposit boxes and Internet terminals (small fee), vending machine and a fully-equipped kitchen. We're open 24/7, with check-out time of 10.30am. Please note that children under 16 are not permitted to sleep in shared dorms. 14 night maximum stay. Please note that when making a booking for a dormitory that we will try to keep your group together but we cannot guarantee that your group will all be in the same room.",84,24 Hour Reception|24 Hour Security|Book Exchange|Free Breakfast|Cable TV|Common Room|DVD's|Elevator|Free City Maps|Free Internet Access|Free WiFi|Hair Dryers For Hire|Hot Showers|Housekeeping|Internet Access|Self-Catering Facilities|Linen Included|Security Lockers|Luggage Storage|Safe Deposit Box|STEAMROOM|Tea & Coffee Making Facilities,Credit Cards Accepted|No Curfew|Non Smoking|Taxes Included
